,Address,Bedrooms & Bathrooms,Date & Time Stamp,Latitude,Listing Title,Longitude,Map Accuracy,Price,Title Header,URL
10,10660 Hampshire Ave. So. ,1BR / 1Ba,2017-11-13T17:31:46-0600,44.809852,"Elevator, Recycling, Large Sundeck",-93.370571,5,$1100,/ 1br - 930ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/elevator-recycling-large/6385840407.html
11,10660 Hampshire Ave. So. ,2BR / 2Ba,2017-11-13T17:31:41-0600,44.809609,"24 Hour Fitness Center, Large Closets, Breakfast Bars",-93.371258,5,$1350,/ 2br - 1100ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/24-hour-fitness-center-large/6385840285.html
12,311 Pleasant Avenue,1BR / 1Ba,2017-11-10T11:38:28-0600,44.943600,1-bedroom with balcony // Great Price--Great Location!,-93.109260,5,$950,/ 1br - 880ft2 - ,https://minneapolis.craigslist.org/ram/apa/d/1-bedroom-with-balcony-great/6381501208.html
13,2904 Lyndale Ave S,0BR / 1Ba,2017-11-13T17:30:06-0600,44.949941,Live your life right - Move to LIME! Tour this amazing alcove today!,-93.288086,10,$1385,/ 565ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/live-your-life-right-move-to/6385838360.html
14,10660 Hampshire Ave. So. ,2BR / 2Ba,2017-11-13T17:29:29-0600,44.809609,"Minutes from the Mall of America, On-Site Management, Dishwashers",-93.371086,5,$1350,/ 2br - 1100ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/minutes-from-the-mall-of/6385837644.html
15,10660 Hampshire Ave. So. ,1BR / 1Ba,2017-11-13T17:29:25-0600,44.809731,"Breakfast Bars, Short Term Leases Available, Elevator",-93.371258,5,$1258,/ 1br - 800ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/breakfast-bars-short-term/6385837563.html
16,10660 Hampshire Ave. So. ,1BR / 1Ba,2017-11-13T17:29:22-0600,44.809731,"Fire Table, Courtyard, On-Site Management",-93.371258,5,$1258,/ 1br - 800ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/fire-table-courtyard-on-site/6385837506.html
17,10660 Hampshire Ave. So. ,2BR / 2Ba,2017-11-13T17:29:19-0600,44.809731,"Off-Leash Dog Park, Breakfast Bars, Individual Storage Areas",-93.371086,5,$1351,/ 2br - 1150ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/off-leash-dog-park-breakfast/6385837433.html
18,10660 Hampshire Ave. So. ,1BR / 1Ba,2017-11-13T17:29:15-0600,44.810096,"Minutes from MSP Airport, Courtyard, Cable Ready",-93.371258,5,$1100,/ 1br - 930ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/minutes-from-msp-airport/6385837364.html
19,N/A,2BR / 2Ba,2017-11-13T17:27:08-0600,N/A,LAST DAY! $1661 For A Great 2 Bedroom Home! Huge Bathroom!,N/A,N/A,$1661,/ 2br - 1023ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/last-day-1661-for-great-2/6385834803.html
20,N/A,2BR / 1Ba,2017-11-13T17:27:06-0600,44.960800,Spacious lower level duplex unit available now!,-93.121600,22,$895,/ 2br - ,https://minneapolis.craigslist.org/ram/apa/d/spacious-lower-level-duplex/6385834756.html
21,N/A,1BR / 1Ba,2017-11-13T17:25:45-0600,44.901089,Available Now- Dog-Friendly Open Concept 1BR Available at The Chase!,-93.440480,5,$1395,/ 1br - 760ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/available-now-dog-friendly/6385833138.html
22,6426 City West Parkway ,2BR / 2Ba,2017-11-10T13:27:53-0600,44.857400,****MOVE IN NOW RECEIVE 1/2 OFF DECEMBER'S RENT!!****,-93.437600,5,$1403,/ 2br - 1048ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/move-in-now-receive-1-2-off/6381681050.html
23,N/A,3BR / 2.5Ba,2017-11-06T09:25:58-0600,45.062958,"Plymouth Townhome for Rent - 3 Bd, 2.5 Bth - Wayzata Schools - $1900",-93.479576,5,$1900,/ 3br - 1800ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/plymouth-townhome-for-rent-3/6375848802.html
24,N/A,1BR / 1Ba,2017-11-11T11:04:19-0600,44.919700,University Housing/Rooms for rent,-92.943900,22,$440,/ 1br - 440ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/university-housing-rooms-for/6382787704.html
25,10225 City Walk Drive,2BR / 1Ba,2017-11-11T16:58:02-0600,44.898500,"Sauna, Granite countertops, View of courtyards",-92.923000,5,$1576,/ 2br - 1115ft2 - ,https://minneapolis.craigslist.org/wsh/apa/d/sauna-granite-countertops/6383286715.html
26,901 Xenia Ave South,1BR / 1Ba,2017-11-11T16:00:23-0600,44.972679,"Outdoor TV, Club Room/Lounge, Billiard Table",-93.352058,5,$1525,/ 1br - 765ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/outdoor-tv-club-room-lounge/6383219075.html
27,1199 Bahls Drive,1BR / 1Ba,2017-11-13T17:17:02-0600,44.738104,Oak Ridge Manor Opening 1 Bedroom Wait List,-92.873572,10,N/A,1br - ,https://minneapolis.craigslist.org/dak/apa/d/oak-ridge-manor-opening-1/6385822498.html
28,155 gleason lake rd,1BR / 1Ba,2017-11-13T17:16:34-0600,44.973269,"Live on the Lake, 24 Hr. Fit. Cen. & Party Room w/ WiFi!!",-93.492279,5,$1055,/ 1br - 785ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/live-on-the-lake-24-hr-fit/6385821932.html
29,832 18th Avenue SE at Como Avenue SE,5BR / 2Ba,2017-10-25T11:32:34-0500,44.985055,New Construction-5 bedroom/2 bath-832 18th Ave SE,-93.226927,10,$3750,/ 5br - ,https://minneapolis.craigslist.org/hnp/apa/d/new-construction-5-bedroom-2/6360457891.html
30,401 8th Ave NE,2BR / 1Ba,2017-11-13T17:15:55-0600,45.488003,"Pet Friendly, Handicapped Accessible, Air Conditioning",-93.258281,5,$1210,/ 2br - 850ft2 - ,https://minneapolis.craigslist.org/ank/apa/d/pet-friendly-handicapped/6385821110.html
31,603 3rd Ave NW,1BR / 1Ba,2017-11-13T17:15:50-0600,45.468200,"Large Cabinets, Additional Storage Available, Extra Large Closets",-93.226600,5,$1120,/ 1br - 700ft2 - ,https://minneapolis.craigslist.org/ank/apa/d/large-cabinets-additional/6385820997.html
32,N/A,1BR / 1Ba,2017-11-13T17:08:25-0600,44.894735,Available Now - Renovated 1BR Apartment Home at Chasewood Gates!,-93.429773,5,$1095,/ 1br - 715ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/available-now-renovated-1br/6385812031.html
33,1519 Rollins Ave SE,5BR / 2Ba,2017-10-25T11:38:36-0500,44.985351,New Construction-5 bedroom/2 bath duplex-1519 Rollins Ave SE,-93.230215,10,$3750,/ 5br - ,https://minneapolis.craigslist.org/csw/apa/d/new-construction-5-bedroom-2/6360468170.html
34,806 12th Ave SE,5BR / 2Ba,2017-10-25T11:42:15-0500,44.985553,New Construction-5 bedroom/2 bath duplex-806 12th Ave SE,-93.235366,10,$3750,/ 5br - ,https://minneapolis.craigslist.org/hnp/apa/d/new-construction-5-bedroom-2/6360474276.html
35,1110 13th Ave SE at Hennipen Ave SE,3BR / 1Ba,2017-10-25T12:04:45-0500,44.991137,3 bedroom duplex close to the U of M-1110 13th Ave SE,-93.233314,10,$1375,/ 3br - ,https://minneapolis.craigslist.org/hnp/apa/d/3-bedroom-duplex-close-to-the/6360511818.html
36,910 21st Avenue SE at Como Avenue SE,4BR / 1Ba,2017-10-23T17:08:22-0500,44.986525,Updated House Close to U of M Campus. 910 21st Ave SE,-93.222832,10,$2200,/ 4br - ,https://minneapolis.craigslist.org/hnp/apa/d/updated-house-close-to-of/6358165008.html
37,1014 16th Avenue SE at Como Avenue SE,4BR / 2Ba,2017-10-23T17:06:06-0500,44.988270,Great House by U of M-1014 16th Ave SE,-93.229487,10,$2200,/ 4br - ,https://minneapolis.craigslist.org/hnp/apa/d/great-house-by-ofth-ave-se/6358161974.html
38,922 26th Ave SE at Como Avenue SE,5BR / 2Ba,2017-10-23T17:03:28-0500,44.986938,Great House by the U of M/5 Bedrooms-922 26th Ave SE,-93.216448,10,$2500,/ 5br - ,https://minneapolis.craigslist.org/hnp/apa/d/great-house-by-the-of-5/6358158282.html
39,890 21st Avenue SE at Como Avenue SE,4BR / 1Ba,2017-10-23T17:00:38-0500,44.986219,Great house close to U of M-890 21st Ave SE,-93.222832,10,$2000,/ 4br - ,https://minneapolis.craigslist.org/hnp/apa/d/great-house-close-to-ofst-ave/6358154390.html
40,1203 Talmage Avenue SE,4BR / 1Ba,2017-10-23T16:58:32-0500,44.989666,Great House by U of M-1203 Talmage Ave SE,-93.234559,10,$2200,/ 4br - ,https://minneapolis.craigslist.org/hnp/apa/d/great-house-by-of-1203/6358151446.html
41,613  6th Street SE,2BR / 1Ba,2017-10-23T16:56:07-0500,44.986824,Close to University of Minnesota Campus. Spacious 2 br. 613 6th St SE.,-93.245166,10,$1200,/ 2br - 1850ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/close-to-university-of/6358148019.html
42,858 18th Ave SE at Como Avenue SE,3BR / 1Ba,2017-10-23T16:51:25-0500,44.985348,3 BR Duplex by U of M-858 18th Ave SE,-93.226929,10,$1650,/ 3br - ,https://minneapolis.craigslist.org/hnp/apa/d/3-br-duplex-by-ofth-ave-se/6358141483.html
43,327 9th Street SE,3BR / 1Ba,2017-10-23T16:48:35-0500,44.991038,"Close to U of M. Available September 1,2018. 327 9th St",-93.246569,10,$1500,/ 3br - ,https://minneapolis.craigslist.org/hnp/apa/d/close-to-of-available/6358137530.html
44,730 Washington Ave. N.,1BR / 1Ba,2017-11-10T14:50:38-0600,44.987442,"Fully Furnished, Lux, Warehouse Apartment!! 1 Bedroom!!",-93.276642,5,$2015,/ 1br - 1069ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/fully-furnished-lux-warehouse/6381810576.html
45,1097 22nd Avenue SE at Hennipen Ave SE,5BR / 2Ba,2017-10-23T16:39:48-0500,44.990206,Great 5 Bdrm Duplex by U of M!1097 22nd Ave SE,-93.221536,10,$2750,/ 5br - ,https://minneapolis.craigslist.org/hnp/apa/d/great-5-bdrm-duplex-by-of-mnd/6358125291.html
46,55 Williams Ave SE,2BR / 1Ba,2017-10-23T16:37:11-0500,44.969317,Upper Level of Duplex Near The U of M-55 Williams Ave SE,-93.217383,10,$1100,/ 2br - ,https://minneapolis.craigslist.org/hnp/apa/d/upper-level-of-duplex-near/6358121518.html
47,55 Williams Ave SE,3BR / 1Ba,2017-10-23T16:34:43-0500,44.969317,Lower Level of Duplex Near The U of M-55 Williams Ave SE,-93.217383,10,$1600,/ 3br - ,https://minneapolis.craigslist.org/hnp/apa/d/lower-level-of-duplex-near/6358117990.html
48,81 Grove Street,3BR / 2Ba,2017-11-06T11:21:46-0600,45.063793,3 Bedroom House in Mahtomedi,-92.958600,10,$1800,/ 3br - 1800ft2 - ,https://minneapolis.craigslist.org/wsh/apa/d/3-bedroom-house-in-mahtomedi/6376044770.html
49,1076 14th Avenue SE at Como Avenue SE,4BR / 1Ba,2017-10-23T16:18:21-0500,44.990420,"Great House by U of M, Spacious Bedrooms-1076 14th Ave SE",-93.232044,10,$2000,/ 4br - ,https://minneapolis.craigslist.org/hnp/apa/d/great-house-by-of-spacious/6358094354.html
50,1086 16th Ave SE at Como Avenue SE,3BR / 1Ba,2017-10-23T16:31:42-0500,44.990497,Lower Level of Duplex Near The U of M-1086  16th Ave SE,-93.229497,10,$1275,/ 3br - ,https://minneapolis.craigslist.org/hnp/apa/d/lower-level-of-duplex-near/6358113591.html
51,1015 21st Avenue SE at Como Avenue SE,3BR / 1Ba,2017-10-23T16:26:31-0500,44.989222,3 Bedroom Home Close to the U of M-1015 21st Ave SE,-93.222826,10,$1275,/ 3br - ,https://minneapolis.craigslist.org/hnp/apa/d/3-bedroom-home-close-to-the/6358106315.html
52,1324 Eagle Creek Blvd,2BR / 1Ba,2017-11-13T16:57:49-0600,44.792961,Updated! Great Amenities! Great Location! Amazing Apartment!,-93.506815,10,$1035,/ 2br - 950ft2 - ,https://minneapolis.craigslist.org/dak/apa/d/updated-great-amenities-great/6385798255.html
53,1039 23rd Avenue SE at Como Avenue SE,5BR / 2Ba,2017-10-23T16:24:11-0500,44.989176,Beautiful House by the U of M/5 Bedrooms-1039 23rd Ave SE,-93.220255,10,$2875,/ 5br - ,https://minneapolis.craigslist.org/hnp/apa/d/beautiful-house-by-the-of-5/6358102806.html
54,13905 Chestnut DriveÂ ,2BR / 2Ba,2017-11-11T14:17:46-0600,44.851485,"Patio or Balcony, Two Resort-Style Swimming Pools, Dishwasher",-93.450565,5,$1310,/ 2br - 979ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/patio-or-balcony-two-resort/6383082202.html
55,851 24th Avenue SE,2BR / 1Ba,2017-10-23T16:21:11-0500,44.985376,"Great Layout, Spacious Bedrooms-851 24th Ave SE",-93.219038,10,$1100,/ 2br - ,https://minneapolis.craigslist.org/hnp/apa/d/great-layout-spacious/6358098446.html
56,805 Weeks Ave SE,3BR / 1Ba,2017-10-23T16:16:08-0500,44.985592,805 Weeks Ave SE. Newer 3 br Upper Near U of M Campus.,-93.215113,10,$1500,/ 3br - ,https://minneapolis.craigslist.org/hnp/apa/d/805-weeks-ave-se-newer-3-br/6358091152.html
57,1057 25th Avenue SE at Como Avenue SE,2BR / 1Ba,2017-10-23T15:40:43-0500,44.989738,Close to University of Minnesota Campus-1057 25th Ave SE,-93.217697,10,$1200,/ 2br - 1850ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/close-to-university-of/6358037315.html
58,853 Weeks Ave SE,5BR / 2Ba,2017-10-23T15:31:22-0500,44.985995,5 Bedroom House by U of M-853 Weeks Ave SE,-93.215798,10,$2500,/ 5br - ,https://minneapolis.craigslist.org/hnp/apa/d/5-bedroom-house-by-of-853/6358022799.html
59,826 20th Avenue SE at Como Avenue SE,5BR / 1Ba,2017-10-23T15:29:04-0500,44.985138,Great House by U of M-826 20th Ave SE,-93.224186,10,$2500,/ 5br - ,https://minneapolis.craigslist.org/hnp/apa/d/great-house-by-ofth-ave-se/6358019261.html
60,1069 25th Ave SE at Como Avenue SE,5BR / 2Ba,2017-10-20T10:53:32-0500,44.989891,Beautiful House by the U of M/5 Bedrooms-1069 25th Ave SE,-93.217696,10,$2800,/ 5br - ,https://minneapolis.craigslist.org/hnp/apa/d/beautiful-house-by-the-of-5/6353750209.html
61,1003 21st Ave SE at Como Avenue SE,5BR / 2Ba,2017-10-23T15:23:20-0500,44.988138,Big House by University of Minnesota-1003 21st Ave SE,-93.222831,10,$2850,/ 5br - 1700ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/big-house-by-university-of/6358010165.html
62,171 - 83rd Ave NE at University Ave NE,3BR / 2Ba,2017-11-06T14:00:44-0600,45.116298,SEE WHAT'S NEW HERE AT SPRINGBROOK,-93.271737,5,$1449,/ 3br - 1148ft2 - ,https://minneapolis.craigslist.org/ank/apa/d/see-whats-new-here-at/6376307561.html
63,1311 W 143RD ST,1BR / 1Ba,2017-10-19T09:10:41-0500,44.743491,"Guest Suite Rental Available, Concierge Services, Heat",-93.294081,5,$1125,/ 1br - 720ft2 - ,https://minneapolis.craigslist.org/dak/apa/d/guest-suite-rental-available/6352262523.html
64,1104 23rd Ave SE,5BR / 2Ba,2017-10-23T15:20:43-0500,44.990323,Great 5 Bedroom House by U of M-1104 23rd Ave SE,-93.220245,10,$2750,/ 5br - ,https://minneapolis.craigslist.org/hnp/apa/d/great-5-bedroom-house-by-ofrd/6358005939.html
65,1049 22nd Ave SE at Como Avenue SE,4BR / 1Ba,2017-10-23T11:48:11-0500,44.989410,"Great House by U of M, Spacious Bedrooms-1049 22nd Ave SE",-93.221546,10,$2200,/ 4br - ,https://minneapolis.craigslist.org/hnp/apa/d/great-house-by-of-spacious/6357646500.html
66,1093 26th Ave SE,3BR / 1Ba,2017-10-23T11:38:33-0500,44.990213,3 Bedroom duplex close to the U of M-1093 26th Ave SE,-93.216428,10,$1500,/ 3br - ,https://minneapolis.craigslist.org/hnp/apa/d/3-bedroom-duplex-close-to-the/6357629545.html
67,1046 25th Avenue SE at Como Avenue SE,4BR / 1Ba,2017-10-23T11:36:33-0500,44.989414,Great House by the U of M/4 Bedrooms-1046 25th Ave SE,-93.217698,10,$2000,/ 4br - ,https://minneapolis.craigslist.org/hnp/apa/d/great-house-by-the-of-4/6357625940.html
68,1523 Rollins Ave SE,3BR / 1Ba,2017-11-06T10:16:40-0600,44.985351,Great 3 Bedroom House Close to Campus!1523 Rollins Ave SE.,-93.230180,10,$1650,/ 3br - ,https://minneapolis.craigslist.org/hnp/apa/d/great-3-bedroom-house-close/6375930591.html
69,1057 23rd Avenue SE at Como Avenue SE,4BR / 2Ba,2017-10-20T10:35:03-0500,44.989714,Big House with lots of space near the U of M-1057 23rd Ave SE,-93.220253,10,$2200,/ 4br - ,https://minneapolis.craigslist.org/hnp/apa/d/big-house-with-lots-of-space/6353719955.html
70,904 9th Ave SE,3BR / 1Ba,2017-10-23T11:33:21-0500,44.988173,Close to the U of M and Bus Line/Duplex-904 9th Ave SE,-93.238821,10,$1500,/ 3br - ,https://minneapolis.craigslist.org/hnp/apa/d/close-to-the-of-and-bus-line/6357620237.html
71,1324 Eagle Creek Blvd,1BR / 1Ba,2017-11-13T16:57:17-0600,44.792961,Spacious One Bedroom available at White Pines!,-93.506815,10,$950,/ 1br - 850ft2 - ,https://minneapolis.craigslist.org/dak/apa/d/spacious-one-bedroom/6385797528.html
72,1424 6th St SE,4BR / 1Ba,2017-10-20T10:45:04-0500,44.982313,1424 6th St SE Upper Level Duplex Great Locations! Available 9/1/2018,-93.233860,10,$2500,/ 4br - ,https://minneapolis.craigslist.org/hnp/apa/d/1424-6th-st-se-upper-level/6353736481.html
73,728 8th Avenue SE at 8th Street SE,4BR / 2Ba,2017-10-23T11:31:45-0500,44.987044,4 Bedroom Home Close to the U of M-728 8th Ave SE,-93.241543,10,$2000,/ 4br - ,https://minneapolis.craigslist.org/hnp/apa/d/4-bedroom-home-close-to-the/6357617334.html
74,115 N 2nd Street at 1st Ave,1BR / 1Ba,2017-10-27T16:06:08-0500,44.983886,Check out this beautiful corner unit!,-93.269267,10,$1650,/ 1br - 729ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/check-out-this-beautiful/6363600016.html
75,N/A,2BR / 2Ba,2017-11-13T16:57:32-0600,44.894689,Beautiful Renovation - 2BR in Beautiful Minnetonka Community!,-93.430095,5,$1395,/ 2br - 1021ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/beautiful-renovation-2br-in/6385797878.html
76,959 17th Ave SE at Como Avenue SE,5BR / 2Ba,2017-10-25T11:49:48-0500,44.966393,New Construction-5 bedroom/2 bath duplex-959 17th Ave SE,-93.260230,15,$3750,/ 5br - ,https://minneapolis.craigslist.org/hnp/apa/d/new-construction-5-bedroom-2/6360487131.html
77,5119 Gateway ST SE,892ft2,2017-11-13T17:07:06-0600,44.717891,"$1,500 Move-In Allowance + PAY NO RENT until February 2018!*",-93.416920,10,$1121,/ 892ft2 - ,https://minneapolis.craigslist.org/dak/apa/d/1500-move-in-allowance-pay-no/6385810335.html
78,N/A,2BR / 2Ba,2017-11-13T17:06:50-0600,N/A,"2 PATIOS with Grills, Undergroud Parking Included, Move In Special",N/A,N/A,$1370,/ 2br - 1060ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/2-patios-with-grills/6385809998.html
79,Penn Ave at Cedar Lake Rd,1BR / 1Ba,2017-10-31T13:01:11-0500,44.973728,$1000 / 1 BR Apartment 2018 Super Bowl Superbowl in Bryn Mawr Mpls,-93.308357,15,$1000,/ 1br - 800ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/br-apartment-2018-super-bowl/6368431868.html
80,948 Westbrooke Way,1BR / 1Ba,2017-11-13T17:06:12-0600,44.910656,Main floor 1 bedroom apartment,-93.411652,10,$900,/ 1br - 750ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/main-floor-1-bedroom-apartment/6385809137.html
81,N/A,1BR / 1Ba,2017-11-13T16:53:27-0600,44.894796,Top Floor 1BR with Fireplace at Chasewood Gates!,-93.429859,5,$1145,/ 1br - 895ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/top-floor-1br-with-fireplace/6385792469.html
82,415 Oak Grove Street,3BR / 2Ba,2017-11-13T17:04:55-0600,44.966511,Lofted Penthouse - 2 Balconies! Move-In Special,-93.281776,10,$2640,/ 3br - 1300ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/lofted-penthouse-2-balconies/6385807496.html
83,1324 Eagle Creek Blvd,2BR / 1Ba,2017-11-13T16:56:20-0600,44.792961,We have the wonderful 2 bed/1 bath you've been waiting for!,-93.506815,10,$1055,/ 2br - 950ft2 - ,https://minneapolis.craigslist.org/dak/apa/d/we-have-the-wonderful-2-bed-1/6385796259.html
84,1324 Eagle Creek Blvd,2BR / 1Ba,2017-11-13T16:55:46-0600,44.792961,Do not look past this two bedroom apartment at White Pines!,-93.506815,10,$1075,/ 2br - 950ft2 - ,https://minneapolis.craigslist.org/dak/apa/d/do-not-look-past-this-two/6385795528.html
85,N/A,1BR / 1Ba,2017-11-08T17:24:11-0600,44.894720,1 + Den Available at Chasewood Gates this December!,-93.429687,5,$1255,/ 1br - 1063ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/1-den-available-at-chasewood/6379336559.html
86,10225 City Walk Drive,2BR / 2Ba,2017-11-13T16:51:30-0600,44.898500,"Recycling center, Dishwasher, Sauna",-92.923000,5,$1754,/ 2br - 1204ft2 - ,https://minneapolis.craigslist.org/wsh/apa/d/recycling-center-dishwasher/6385789891.html
87,400 Marquette Avenue South,1BR / 1Ba,2017-11-11T16:35:46-0600,44.979212,"Open and Airy, modern 1BR in Luxury Minneapolis High Rise",-93.268450,5,$1735,/ 1br - 716ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/open-and-airy-modern-1br-in/6383261237.html
88,229 Ridgewood Ave,1BR / 1Ba,2017-11-13T17:00:21-0600,44.963875,Have a holly jolly holiday in your new home!,-93.281475,10,$995,/ 1br - 525ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/have-holly-jolly-holiday-in/6385801573.html
89,10670 Brunswick Rd S,2BR / 2Ba,2017-11-13T16:59:28-0600,44.826600,$700 OFF FIRST MONTH'S RENT! CALL TODAY!,-93.375000,22,$1313,/ 2br - 1152ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/700-off-first-months-rent/6385800461.html
90,727 Kenwood Parkway,1BR / 1Ba,2017-11-13T16:58:54-0600,44.969684,Kenwood Neighborhood One Bedroom Single Family Home,-93.295580,10,$1495,/ 1br - 750ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/kenwood-neighborhood-one/6385799706.html
91,N/A,1BR / 1Ba,2017-11-13T16:51:53-0600,44.901180,Just listed - 1BR Apartment with Incredible View at The Chase!,-93.440502,5,$1295,/ 1br - 633ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/just-listed-1br-apartment/6385790405.html
92,1324 Eagle Creek Blvd,2BR / 1Ba,2017-11-13T16:58:38-0600,44.792961,Your new home is at White Pines Apartments!,-93.506815,10,$1035,/ 2br - 950ft2 - ,https://minneapolis.craigslist.org/dak/apa/d/your-new-home-is-at-white/6385799356.html
93,701 N 2nd St,1BR / 1Ba,2017-11-13T16:58:37-0600,44.988865,"Bright Top Floor 1BR w/Huge Closet, High Ceilings & Private Balcony!",-93.276269,10,$1800,/ 1br - 781ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/bright-top-floor-1br-huge/6385799337.html
94,1324 Eagle Creek Blvd,2BR / 1Ba,2017-11-13T16:51:34-0600,44.792961,"Great Community, Great Apartment at White Pines!",-93.506815,10,$1035,/ 2br - 950ft2 - ,https://minneapolis.craigslist.org/dak/apa/d/great-community-great/6385789970.html
95,N/A,2BR / 2Ba,2017-11-08T17:25:36-0600,44.894705,Awesome Split Floorplan 2BR - Perfect for Roommates!,-93.429387,5,$1360,/ 2br - 1021ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/awesome-split-floorplan-2br/6379338181.html
96,2614 Cutters Grove Ave,2BR / 1Ba,2017-11-13T16:57:13-0600,45.206703,2 Bedroom Apartment Homes In A GREAT Anoka Location!,-93.412804,5,$1095,/ 2br - 884ft2 - ,https://minneapolis.craigslist.org/ank/apa/d/2-bedroom-apartment-homes-in/6385797437.html
97,N/A,2BR / 1Ba,2017-11-06T10:25:47-0600,44.945999,Great location 1 block from Calhoun Square - Top floor 2 bdrm,-93.297358,5,$1445,/ 2br - 1000ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/great-location-1-block-from/6375946160.html
